Date,User,Message
2026-03-06 23:02:29,"강재현","일단 레퍼 논문 1-24번까지가 introduction파트니까 6개씩 읽어올까요?"
2026-03-06 23:03:02,"조현빈","그렇게 하죠"
2026-03-06 23:08:21,"강재현","이번에 읽을 intro 논문은 다음과 같이 진행하면 될 것 같습니다.
1. 본인이 읽을 논문은 읽기 시작할 때, 논문제목 속성에 제목과 ref 숫자 기입해주세요.
2. 담당자 속성에서 본인 선택하고 읽기 시작하면 안 겹치고 읽을 수 있을 거 같습니다.
3. 추가로 노션 아카이브의 주제 속성에서 ""본논문인용""도 같이 선택해주시면 될 것 같습니다."
2026-03-11 15:02:13,"강재현","저희 물품은 살 거 없죠?"
2026-03-11 15:02:31,"박세은","뭐 따로 필요한 건 없을것같습니다"
2026-03-11 16:10:25,"박세은","저희가 따로 필요한 기기 같은 건 없는 것 같아서 물품 신청은 따로 하지 않는 걸로 할까요?"
2026-03-11 16:10:49,"박세은","그리고 관련 사항에 대해서도 조교님이 따로 아시는 건 많지 않아서 궁금한 점은 직접 학과사무실에 문의해야 한다고 합니다"
2026-03-11 16:11:16,"조현빈","따로 팀 내에서 필요한 물품은 없을 것 같아요"
2026-03-11 16:12:46,"강재현","레이저 포인터..?"
2026-03-11 16:13:13,"조현빈","교수님은 개인적으로 안좋아하긴 한다고 하지 않았나"
2026-03-11 16:13:27,"강재현","아 그부분 못들었어"
2026-03-11 16:13:53,"조현빈","쓰는 사람들 있긴 한데 개인적으로 자긴 안좋아하신다고 그랬던 듯"
2026-03-11 16:14:09,"강재현","ㅇㅎ 그럼 뭐 딱히 없을듯"
2026-03-11 16:14:24,"박세은","그럼 그냥 넘어가는 걸로 하죠"
2026-03-12 17:47:01,"박세은","혹시 회의를 9시쯤으로 미루는 것도 가능할까요?"
2026-03-12 17:47:16,"조현빈","전 가능합니다"
2026-03-12 17:48:08,"이동욱","네 괜찮아요 저도"
2026-03-12 17:48:28,"강재현","저도 9시반 전에만 끝나면 괜찮을 거 같습니다"
2026-03-12 17:48:40,"조현빈","그럼 9시에 디스코드에서 뵐게요"
2026-03-12 17:48:43,"강재현","넵넵"
2026-03-12 21:28:53,"박세은","1, 13, 20 위주로 다시 읽고 문제 정의하기"
2026-03-13 16:11:27,"박세은","연구지도확인서 2주차 제출했습니다"
2026-03-13 16:12:10,"박세은","그리고 교수님께서 저희 팀원분들 한 번 보시면 좋겠다고 말씀하셨는데 아마 지난번에 약속 잡았던 걸 취소하셨던 걸 잊어버리신 것 같아요..."
2026-03-13 16:16:21,"강재현","ㅋㅋㅋㅋㅋㅋㅋㅋ"
2026-03-13 16:17:04,"강재현","뭐라고 말씀드렸어요?"
2026-03-13 16:17:45,"박세은","아 그냥 이번주 확인서 서명받으러 갔는데 팀원들 얼굴이라도 한 번 보고싶으시다고 하셨어요"
2026-03-13 16:18:26,"조현빈","ㅋㅋㅋㅋㅋ"
2026-03-13 16:23:41,"강재현","그럼 담주...는 뵐까요? ㅋㅋㅋ"
2026-03-13 16:26:01,"박세은","넵 저희 랩 미팅이 3시고 교수님께서는 대부분 그 이후에 개별 미팅으로 채우시니까, 저희는 2시 반쯤에 약속을 잡으면 될 것 같아요...아마도"
2026-03-13 16:35:12,"강재현","그런데 저 담주는 금욜에 해커톤이 있어서 혹시 미팅 잡는다면 목욜이나 다른 때 가능할까요"
2026-03-13 16:46:23,"박세은","교수님이 금요일이면 좋겠다고 하셨는데 다다음주에 첫 만남 하면 너무 늦으려나요..."
2026-03-13 16:51:29,"강재현","정안되면 다른 분들끼리 먼저 미팅하시고 그 다음 번에 뵈러가죠 뭐"
2026-03-14 11:07:28,"박세은","저희 멘토님이 배정되셨네요
주말 지나고 연락 드려도 괜찮겠죠?"
2026-03-14 11:13:08,"강재현","네네"
2026-03-16 18:43:10,"박세은","멘토님께 연락은 어떤 방식으로 드렸었나요? 혹시 지난번에 멘토님 연락할 때 쓰셨던 메일 포맷 있으실까요?"
2026-03-16 20:23:19,"강재현","원래 산학멘토분들 어떤 분들이신지 목록 받고 그 중 저희가 주제에 도움을 받을 수 있을 거 같은 분들께 멘토링 신청을 했었는데요"
2026-03-16 20:23:24,"강재현","이번은 그런게 딱히 없네요"
2026-03-16 20:24:06,"강재현","메일은 그때 제가 안보내서 따로 없고"
2026-03-16 20:26:20,"강재현","연구 제안서를 작성해서 멘토분께 드리면 해당 제안서에 대해 멘토님이 그걸 보시고 자문을 해주시는 형태였어요"
2026-03-16 20:26:38,"강재현","해결하고자 하는 문제/기존 연구의 한계점/제안하는 연구의 소개/연구 및 실험 방법/향후 계획/팀의 구성 및 팀원의 역할"
2026-03-16 20:26:55,"강재현","정도인데 연구 및 실험 방법, 향후 계획은 공란으로 해도 돼요"
2026-03-16 20:29:02,"강재현","파일: 산학협력프로젝트수행계획서(소종_요약본).hwp"
2026-03-16 20:29:06,"강재현","아 찾았습니다"
2026-03-16 20:29:25,"강재현","파일: 프로젝트전문가자문내역서.hwp"
2026-03-16 20:29:56,"강재현","노션에다 올려둘게요"
2026-03-16 20:35:05,"강재현","오늘 밤까지 일단 대충 계획서 작성해서 올려보겠습니다"
2026-03-17 10:00:03,"강재현","노션에다 저희 팀 주제로 수행계획서 작성해서 올려두었습니다. 내용 괜찮은지 검토 부탁드려요"
2026-03-17 10:16:12,"이동욱","읽어봤는데 일단 전 괜찮은거 같습니다"
2026-03-17 10:51:24,"박세은","저도 괜찮은 것 같습니다!"
2026-03-17 10:51:50,"박세은","해당 수행계획서 첨부하여 멘토님께 이렇게 메일 드리려고 하는데 괜찮으실까요"
2026-03-17 10:51:58,"조현빈","저도 괜찮습니다"
2026-03-17 10:52:06,"박세은","[연세대학교 종합설계 산학멘토링] 속도는벡터 팀 연락드립니다

안녕하십니까, 박성원 멘토님.

연세대학교 컴퓨터과학과 인공지능종합설계 과목을 수강하는 ""속도는벡터"" 팀입니다. 멘토님께서 저희 팀의 산학 멘토님으로 배정되셔서, 인사 및 프로젝트 내용을 간략히 공유드리고자 연락드렸습니다.

저희 팀은 학부 4학년생 강재현, 박세은, 이동욱, 조현빈으로 구성되어 있으며, 현재 BDAI 연구실의 박광현 교수님의 지도를 받고 있습니다. 진행 중인 프로젝트 주제는 벡터DB 쿼리 옵티마이저에 관한 내용입니다. 

프로젝트의 보다 구체적인 방향은 첨부드린 수행계획서 초안에 정리되어 있습니다.

또한, 가능하시다면 향후 멘토링 진행을 위한 간단한 미팅 일정을 조율하고자 합니다. 편하신 시간대와 방법이 있으시다면 공유해주시면 맞추도록 하겠습니다.

바쁘신 와중에 멘토링에 참가해주셔서 감사합니다.
속도는 벡터 팀 드림."
2026-03-17 11:22:02,"강재현","아 미팅은"
2026-03-17 11:22:16,"강재현","비대면으로 진행해도 되는데 어떻게 하실래요?"
2026-03-17 11:24:10,"박세은","근데 저희 회의비가 1회 지급된다니까 대면 한 번 하면 좋을 것 같긴 한데"
2026-03-17 11:24:30,"박세은","대면도 비대면도 가능하다고 열어놓으면 될 것 같습니다"
2026-03-17 11:25:19,"강재현","네네"
2026-03-17 11:25:31,"강재현","그럼 내용 저대로 보내면 될 거 같아요"
2026-03-18 15:05:42,"강재현","오늘 공강이었나요..?"
2026-03-18 15:05:52,"조현빈","오늘 504"
2026-03-18 15:06:02,"박세은","호명 출석 부르고 있어요!"
2026-03-18 15:06:04,"조현빈","세미나"
2026-03-18 15:06:32,"강재현","아"
2026-03-18 15:06:33,"강재현","맞다"
2026-03-18 16:10:21,"박세은","저희 이번주 금요일에는 다같이 모이기가 어려울 것 같으니까 교수님이랑 미팅하는 건 다음주 금요일쯤으로 잡으면 좋을 것 같아요"
2026-03-18 16:10:44,"조현빈","네!"
2026-03-18 16:10:59,"이동욱","좋습니다"
2026-03-18 16:13:04,"강재현","넵넵"
2026-03-19 10:45:58,"박세은","멘토님 메일 읽어보셨나요? 아마 메일로 계속 지도받게 될 것 같습니다."
2026-03-19 10:46:28,"조현빈","네 확인했습니다"
2026-03-19 10:47:00,"박세은","그나저나 멘토님이 어떤 분이신지는 아직도 잘 모르겠네요...비대면  화상회의라도 해야 할까요"
2026-03-19 10:47:47,"이동욱","근데 저번학기 분들 메일로만 얘기하셧다는거 보면 저희도 메일 계속 주고받으면서 자문 받아도 될거같긴해요"
2026-03-19 10:55:33,"강재현","아"
2026-03-19 10:55:50,"강재현","그 전에도 멘토링하셨다는 얘기 보고 이전 멘토 소개 자료 받아봤는데"
2026-03-19 10:56:39,"강재현","삼성전자 AI센터 업무지능화IT그룹 파트장으로 빅데이터, DB, Web 쪽 자문 가능하신 거로 설명해주셨어요"
2026-03-19 10:56:49,"박세은","오"
2026-03-19 10:56:53,"강재현","25-1학기 담당 자문 프로젝트는 Indexing을 이용한 GPU 가속 SQL 쿼리 실행 성능 향상라네요"
2026-03-19 11:00:22,"강재현","첫번째 자문은 일단 3/25까지 받고, 이후 자문계획서 있을 때마다 메일로 소통하는 방식이어도 괜찮을 거 같습니다. 물론 중간에 더 궁금한 내용이 있다면 시간 맞춰서 비대면 미팅을 잡을 수는 있고요"
2026-03-19 11:00:47,"강재현","회식비..ㅠ 좀 아쉽긴 하네요 3만원으로 알고 있는데"
2026-03-19 12:02:38,"강재현","이렇게 메일 보내는 거 어때요?
안녕하세요, 박성원 멘토님.

바쁘신 와중에 답변 주셔서 감사합니다.
말씀 주신 내용에 대해 팀 내에서 논의한 결과, 아래와 같이 진행하면 좋을 것 같습니다.
1. 자문 일정
   초안에 대한 첫 자문은 말씀해주신 대로 3월 25일(수)까지 회신 주시는 일정으로 진행해주시면 감사하겠습니다.
2. 이후 소통 방식
   이후에는 자문이 필요한 계획서나 결과물이 있을 때마다 메일을 통해 지속적으로 소통드리는 방식으로 진행하고자 합니다.
   다만, 논의가 필요한 사항이나 추가적인 질의가 있을 경우에는 멘토님께서 가능하신 시간에 맞춰 비대면 미팅을 별도로 요청드리는 형태로 진행하면 좋을 것 같습니다.
3. 미팅 방식
   말씀해주신 것처럼 기본적으로는 비대면(메일 중심)으로 진행하고, 필요 시 화상 미팅을 병행하는 방식으로 이해했습니다.
위와 같은 방향으로 진행해도 괜찮으실지 확인 부탁드립니다.
다시 한 번 멘토링에 참여해주셔서 감사드리며, 잘 부탁드립니다.
감사합니다.
속도는벡터 팀 드림
"
2026-03-19 12:05:36,"박세은","양식 중 프로젝트 전문가 자문 내역서 양식을 첨부하여 내역서도 작성해달라고 부탁드려야 할까요? 수업 시간에 내역서는 저희가 작성하는 게 아니라고 들었던 것 같기도 해서요"
2026-03-19 12:06:05,"강재현","네네 자문 내역서 같이 보내면 될 거 같습니다."
2026-03-19 12:27:01,"박세은","자문내역서 양식이 워드 파일과 한글 파일로 두 가지가 있는데, 내용이 살짝 다르네요. 한글 파일에는 자문료 관련 내용이 들어있고, 워드 파일에는 기타 항목이 있습니다.
1. 한글/워드 파일 중 어떤 것을 보내면 될지
2. 워드 파일의 기타 항목(프로젝트를 자문하는 동안 느낀점, 개선점 등 의견을 기술)은 멘토님이 적으시는 건지
등이 궁금합니다"
2026-03-19 12:32:14,"강재현","1. 워드파일 보내면 될 거 같습니다.
2. 넵 멘토님 기재항목입니다"
2026-03-19 12:37:34,"박세은","워드 형식 자문내역서 첨부해서 회신드렸습니다"
2026-03-19 17:53:24,"박세은","저희 오늘 회의가 7시일까요 9시일까요?"
2026-03-19 17:53:54,"조현빈","전 둘 다 가능하긴 해요"
2026-03-19 17:54:44,"이동욱","7시 되면 7시에 하는게 더 낫긴 합니다 전"
2026-03-19 18:02:23,"강재현","7시에 할까요?"
2026-03-19 18:02:49,"조현빈","네 알겠습니다"
2026-03-19 19:13:47,"강재현","아, 그리고 이전에 제출하신 연구지도확인서도 노션에 공유해 주실 수 있나요?"
2026-03-19 19:14:01,"박세은","넵"
2026-03-19 19:15:55,"박세은","업로드했습니다!"
2026-03-20 14:10:13,"강재현","아"
2026-03-20 14:10:20,"강재현","그 노션에 업로드해뒀습니다"
2026-03-20 14:10:36,"강재현","어제 밤에 해두고 얘기한다는 걸 잊었네요"
2026-03-20 14:11:21,"박세은","확인해서 출력했습니다
이따 서명 받아서 런어스 업로드하고 다시 말씀드리겠습니다"
2026-03-20 14:28:46,"강재현","넵넵 고마워요!"
2026-03-20 16:15:42,"박세은","제출했습니다!"
2026-03-20 16:16:10,"박세은","그리고 다음주 2시에서 3시 언저리로 잠재적인 미팅을 잡았습니다"
2026-03-20 16:16:16,"조현빈","넵!"
2026-03-20 16:16:23,"박세은","다들 이 시간 괜찮으시면 좀 더 명시적으로 다시 확인하겠습니다"
2026-03-20 16:22:27,"강재현","넵 가능합니다 "
2026-03-21 12:34:58,"이동욱","금요일 말하시는거면 가능합니다"
2026-03-21 14:04:10,"박세은","그럼 주말 지나고 교수님께 일정 말씀드리겠습니다"
2026-03-24 13:23:43,"박세은","금요일 2시 일정 확인받았습니다!"
2026-03-26 10:36:30,"박세은","사진"
2026-03-26 10:36:53,"박세은","어젯밤에 멘토님께 자문내역서 회신받았습니다"
2026-03-26 10:38:13,"박세은","컨택 내역은 위 캡쳐본처럼 보이면 되는 거겠죠?"
2026-03-26 10:38:38,"박세은","파일: 1차 자문내역서(연세대학교 팀_속도는벡터).pdf"
2026-03-26 10:41:04,"조현빈","네, 저 이미지면 충분할 것 같아요"
2026-03-26 10:46:37,"박세은","런어스에 자문컨택내역과 자문내역서 제출했습니다"
2026-03-26 10:47:05,"박세은","이제 연구제안서와 프로젝트 수행계획서 피드백 반영한 버전을 제출하면 되는 것 같습니다"
2026-03-26 10:47:38,"박세은","연구지도 확인서는 항상 하던 대로 교수님 서명 받아서 제출하겠습니다만 이번에는 내역을 내일 교수님 면담 이후에 작성하면 좋을 것 같아요"
2026-03-26 10:48:22,"조현빈","넵! 내일 시간 장소 한 번만 정확하게 다시 공지해주실 수 있을까요?!"
2026-03-26 10:49:13,"박세은","3월 27일 금요일 14시, 제4공학관 8층 802호 박광현 교수님 사무실로 오시면 됩니다"
2026-03-26 10:50:06,"조현빈","넵 알겠습니다!"
2026-03-26 11:44:12,"강재현","그럼 대충 내용 숙지만 해오면 될 거 같은데 오늘은 온라인 미팅은 안 해도 되는 걸까요?"
2026-03-26 11:54:34,"조현빈","그럴 거 같긴 한데"
2026-03-26 12:08:12,"박세은","네 따로 저희끼리 미팅할 내용은 없는 것 같고, exqutor 논문이랑 자문내역서 내용 정도 숙지해오면 될 것 같아요"
2026-03-26 20:23:09,"박세은","그런데 이제 슬슬 저희끼리의 토이 프로젝트스러운 목표가 나와야 할 것 같습니다. 자문내역서에서도 구체성 부분을 지적하셨고요. 내일 교수님 뵐 때 '저희는 이러이러한 방향으로 나가려고 한다'라고 말씀드릴만한 게 있으면 좋겠는데, 그건 오히려 교수님을 봬야 방향이 잡히려나요"
2026-03-26 20:26:57,"조현빈","내일 만나봐야 좀 구체적으로 될 것 같은데"
2026-03-26 20:27:22,"이동욱","교수님이랑 미팅을 해야 뭔가 방향 잡기는 수월할거 같기도 해요"
2026-03-26 20:53:07,"강재현","어느정도 진행된 주제에서 하는 거라 몇 가지 방향이 있을 거 같아요. 낼 아마 확인해봐야할 거 같은데요.
1. 기존 진행하고 있던 연구에서 같이 할만한 실험 있는지
2. 기존 진행하고 있는 연구에서 단점 보완하기
3. 기존 연구 확장하기"
2026-03-26 20:54:13,"강재현","이런 느낌으로 하는게 처음이라 어떤 방향이 나을지 교수님하고 미팅하면서 한 번 여쭤보죠"
2026-03-26 20:54:34,"박세은","넵 좋습니다!"
2026-03-26 20:54:53,"강재현","이번주 미팅하고 담주랑 다담주 중으로 아이디어랑 그거로 연구 계획서 쓰면 딱 일정 맞을 거 같아요"
2026-03-26 21:06:52,"이동욱","좋아요"
2026-03-27 10:48:30,"박세은","제가 지금 한컴오피스가 없어서 그러는데, 오늘 연구지도서 회차와 날짜 입력해서 pdf로 변환해주실 수 있나요? 그러면 제가 출력해서 미팅 때 들고가겠습니다. 지도내역은 비워두거나 다음 쪽으로 넘기면 될 것 같습니다!"
2026-03-27 10:54:33,"강재현","아 사인 받는 용으로요?"
2026-03-27 10:54:56,"박세은","넵"
2026-03-27 11:05:40,"강재현","파일: 속도는벡터_연구지도확인서4.pdf"
2026-03-27 11:06:19,"박세은","감사합니다"
2026-03-27 13:58:15,"박세은","어디신가요?"
2026-03-27 13:59:33,"강재현","저 공학원입니다 금방 도착해요"
2026-03-27 14:49:24,"강재현","저희 실험 db는 어떻게 되는 걸까요? 저희가 따로 구축해야 하는 걸까요 아니면 연구실 거를 사용할 수 있는 걸까요?"
2026-03-27 14:50:46,"박세은","원래 진행하던 것은 sap 것이라 그걸 쓸 수는 없을 것 같은데 테스트용을 사용하시던 postgreSQL+pgvector 환경이 있으셔서 부탁드리면 그걸 받을 수도 있을 것 같습니다"
2026-03-27 14:50:51,"박세은","이것도 한번 여쭤볼게요"
2026-03-27 17:45:18,"박세은","그럼 오늘 논의로 방향이 나온 게 기존 연구에서 확장해서 진행해보는 것으로 가는 것으로 정해진 거죠? 그 중에서도 언급된 방법으로는 벡터 cardinality 예측을 1)많이 retrieval되는 것과 2)적게 retrieval되는 것이 있다고 했을 때 1)에 대한 필터링을 먼저 하고 그 다음에 2)에 대한 필터링을 하는 방식으로 해보자는 거였던 것 같은데, 맞나요?"
2026-03-27 18:52:44,"강재현","음"
2026-03-27 18:55:46,"강재현","아 테이블 2개를 말씀하신 이유가 이해됐어요"
2026-03-27 18:57:05,"강재현","그 원래 제 생각은"
2026-03-27 18:59:05,"강재현","같은 벡터 쿼리에 대해 similarity 범위를 다르게 해서 처음에 더 많이 retrieval할 수 있는 것을 두고 두 번째는 적게 retrieval되게 만드는 것이었어요."
2026-03-27 19:01:26,"강재현","굳이 두 번 검색을 해야하나 싶긴 한데, 만약 검색보다 플랜이 더 병목이라면 이런 방식으로도 해볼 수 있지 않을까?라는 거였어요"
2026-03-27 19:02:59,"박세은","그럼 직접 실험해보면서 어떤 파트가 얼만큼씩 걸리는지를 확인해야 할 것 같네요"
2026-03-27 19:03:33,"강재현","네네"
2026-03-27 19:04:12,"박세은","그런데 아직 데이터베이스 전달해달라는 말씀은 못 드려서 저희끼리 환경을 구축해봐야 할 것 같은데"
2026-03-27 19:04:54,"박세은","실험을 돌릴 때는 연구실 서버가 결국 필요해지려나요? 만약 아니라면 지금부터 환경 설정 들어가도 될 것 같습니다"
2026-03-27 19:07:58,"강재현","음 아무래도 연구실 서버 쓰는게 편하긴 하겠죠. 안 그러면 저희가 벡터데이터 저장된 db직접 만들어야하는데"
2026-03-27 19:09:43,"강재현","DB....채울 데이터며 rdb로 해서 쿼리문 찍을만하게 스키마도 짜야하지 않나요"
2026-03-28 01:57:36,"조현빈","파일: 연구방향_설계안.pdf"
2026-03-28 01:57:56,"조현빈","제가 재현이가 말한 내용으로 좀 AI 분석 돌려본건데 한 번 확인을"
2026-03-28 02:09:29,"강재현","필터 순서 짜는게 아마 세은님이 말씀하셨던 플랜인건데"
2026-03-28 02:12:18,"조현빈","아 반대였구나"
2026-03-28 02:12:33,"강재현","ㅇㅇ 아이디어 검증 방식에서 내 생각하고 좀 다르게 설계된 거 같아"
2026-03-28 02:12:51,"강재현","이해하기 쉽게 좀더 정확히 설명해볼게"
2026-03-28 02:12:53,"조현빈","한 번 설계 아이디어 간단히만 줘볼래?"
2026-03-28 02:12:54,"조현빈","ㅇㅋㅇㅋ"
2026-03-28 02:13:08,"강재현","코사인 유사도 값의 범위가 [-1,1]로 나오는데 1일수록 유사하고, -1일수록 달라. 아까 세은님 말씀하신 거 들어보니 유사도가 높을수록(1에 가까울수록) 아무래도 user input과 비슷한 애들로만 검색될테니 cardinality가 적어지고, 이에 반해 유사도가 낮을수록 더 높아지는 거 같아."
2026-03-28 02:13:09,"조현빈","내가 좀 몇 개 알아봤는데 그렇게 눈에 띌만한 건 없었어서 마땅히"
2026-03-28 02:13:32,"강재현","이때 내가 생각한게"
2026-03-28 02:17:33,"강재현","관계형 필터링하고 벡터 검색이 같이 있는 입력 쿼리의 경우, 정확한 결과 출력을 위해서 관계형 필터링과 벡터검색 순서를 플래닝하는게 중요한 일이고 되게 오래걸린다고 했단말이지? 플래닝이 오래 걸리는 이유가 벡터 검색이 얼마나 될지 모른다는 데에 있다는 부분에서 고민을 했던 거야."
2026-03-28 02:18:46,"조현빈","오케이 다시 한번 방향을 다시 설정해서 분석해볼게"
2026-03-28 02:19:07,"조현빈","계속 얘가 연구를 논문에서 한거 그대로 하려고 하더라고"
2026-03-28 02:19:17,"강재현","그래서 이제 만약 벡터 유사도 조건을 두 가지로 나눠서 두번 중복 필터링을 한다 했을 때 어쨌든 첫번째 벡터검색 과 두번째 벡터 검색의 검색량 차이는 명확하다고 생각이 들어서, 이렇게 될 경우 플래닝 시간을 단축시킬 수 있지 않을까라는 생각이 들었어"
2026-03-28 02:19:45,"강재현","내가 봤을 때 이거 효용성을 고민하려면 먼저 필터링 플래닝이 어떻게 이뤄지는지 조사를 좀 해야할듯"
2026-03-28 02:22:43,"강재현","그리고 중복 필터링이 이뤄졌을 때, 만약 첫번째 벡터 검색이 유사도가 낮은 검색일 경우, 아무래도 cardinality가 더 높겠지? 그럼 두 번째 벡터 검색을 하는 애들은 유사도가 높은 애들을 추출할테니 이 첫번째 벡터 검색에서 나왔던 애들 중에 뽑게 될텐데, 얘네들 index를 미리 잡아둔다던가 해서 두번째 벡터 검색은 좀 빠르게 할 수 있지 않을까? 이러면 만약 플래닝 시간이 감소한다고 했을때, 벡터 검색 두번으로 인해 증가하는 시간도 어느 정도 감소시킬 수 있지 않을까라는 아이디어"
2026-03-28 02:22:49,"강재현","몰라 그냥 직관이라"
2026-03-28 02:23:08,"강재현","더 찾아봐야할듯"
2026-03-28 02:23:33,"조현빈","오키 나도 내일 이걸로 좀 연구좀 해봐야겠다"
2026-03-28 02:24:58,"강재현","세은님이 이 분야는 경험이 좀 더 있으시니 혹시 읽으시고 제 생각중 잘못되거나 수정해야할 부분이 있다면 알려주세요!"
2026-03-28 02:25:12,"조현빈","https://github.com/johyunbin/Capstone
Notion에도 일단 업로드 해두긴 했어요

GitHub 유저네임 알려주세요"
2026-03-28 02:25:45,"강재현","나 newagency"
2026-03-28 02:25:48,"조현빈","일단 참조 논문 전체, 분석한거
제출물 양식
제출 완료한 거 이렇게 일단 업로드 해뒀어요"
2026-03-28 02:25:52,"조현빈","오케이"
2026-03-28 11:12:36,"박세은","제 유저네임은 triangle-park입니다"
2026-03-28 11:15:04,"이동욱","전 dlee004입니다"
2026-03-28 11:15:07,"조현빈","넵"
2026-03-28 11:15:29,"박세은","저는 우선 벡터 유사도 조건을 두 번 중복 필터링할 상황이 어떤 건지 잘 모르겠어요. 물론 이런 상황에 맞춰서 시나리오를 잘 만들면 되겠지만 조금 억지스럽게 나올 수도 있지 않을까요?"
2026-03-28 11:15:36,"조현빈","다 초대보냈습니다"
2026-03-28 11:17:39,"이동욱","저도 일단 생각해보던게 있어서 내일 정도까지 정리해볼게요"
2026-03-28 16:12:27,"박세은","아직 지도확인서 세부내용을 안 적어서 혹시 주말 안에 제가 제출했다는 말이 없으면 리마인드 한 번 부탁드립니다"
2026-03-28 16:12:51,"조현빈","네!"
2026-03-28 22:57:22,"조현빈","파일: 연구_설계안_20260328_223000.pdf"
2026-03-29 13:52:29,"박세은","너무 깔끔하고 내용도 알찬데요? 정말 좋습니다"
2026-03-29 13:53:46,"박세은","혹시 지도확인서 내용 작성을 부탁드려도 괜찮을까요? 연구실 논문 작업이 월요일 저녁까지 마감이라 제가 작성하기에는 시간이 부족합니다ㅠㅠ 다음과 같은 내용으로 작성하면 좋을 것 같습니다.

연구 확장 방향 제시
벡터 확장 데이터베이스 실행 과정에서 병목 현상이 생기는 원인 중 하나로 쿼리 플래닝 단계에서의 부정확한 cardinality 예측을 지목. 이를 해결하기 위해 기존 연구의 ECQO / Sampling기법을 기본으로 더 빠르거나 더 정확한 예측을 위한 새로운 방향으로의 확장 제시"
2026-03-29 14:07:59,"조현빈","제가 한 번 작성해볼게요 오늘 저녁까지 드릴게요"
